iter	RMSE
0	18.78359339
1	18.65065246
2	18.52015635
3	18.39022222
4	18.26156368
5	18.13430924
6	18.0093981
7	17.8856177
8	17.76434556
9	17.64308621
10	17.52500368
11	17.40701636
12	17.29038612
13	17.17654582
14	17.06326182
15	16.95065982
16	16.8407785
17	16.73211337
18	16.6243801
19	16.51828716
20	16.41415667
21	16.31017781
22	16.20702684
23	16.10533182
24	16.00561049
25	15.90565661
26	15.80757674
27	15.71177121
28	15.61585868
29	15.52125235
30	15.42898619
31	15.33736654
32	15.24670543
33	15.15688067
34	15.0687597
35	14.98135347
36	14.89431036
37	14.80857582
38	14.72452876
39	14.64095023
40	14.55878023
41	14.47853683
42	14.39813223
43	14.31982457
44	14.24182831
45	14.16465182
46	14.08840618
47	14.01340934
48	13.93954456
49	13.86672836
50	13.79538109
51	13.72413166
52	13.65447173
53	13.58403029
54	13.51557472
55	13.44788859
56	13.3813684
57	13.31636066
58	13.25154068
59	13.18825832
60	13.12554351
61	13.0631105
62	13.0012889
63	12.93986298
64	12.87969329
65	12.82146936
66	12.76360286
67	12.7064832
68	12.65033152
69	12.5945807
70	12.53954283
71	12.48467207
72	12.43091774
73	12.37829324
74	12.3258161
75	12.2744826
76	12.223464
77	12.17323329
78	12.124607
79	12.07618596
80	12.0277196
81	11.98073652
82	11.93481338
83	11.89004918
84	11.84505846
85	11.80003264
86	11.7563659
87	11.71313021
88	11.67037145
89	11.62840091
90	11.5861316
91	11.54533998
92	11.5055599
93	11.46558581
94	11.42606554
95	11.38740797
96	11.34865208
97	11.31145112
98	11.274959
99	11.23829026
100	11.20187668
101	11.16603353
102	11.13090753
103	11.0968089
104	11.06242883
105	11.0290604
106	10.99647712
107	10.96447393
108	10.93233944
109	10.90086902
110	10.86972292
111	10.83892915
112	10.80858847
113	10.77915115
114	10.75007815
115	10.72078826
116	10.69257492
117	10.66464705
118	10.63708308
119	10.60972695
120	10.5827983
121	10.55686985
122	10.53064537
123	10.50483341
124	10.4796077
125	10.4548413
126	10.4304236
127	10.40628255
128	10.38227815
129	10.35913407
130	10.33604305
131	10.31331998
132	10.29091012
133	10.26897866
134	10.24728368
135	10.2257811
136	10.20449485
137	10.18386012
138	10.16381592
139	10.14351112
140	10.12371707
141	10.10443641
142	10.08508849
143	10.06662309
144	10.04782082
145	10.02978808
146	10.01163636
147	9.994314992
148	9.976602163
149	9.9594689
150	9.942874842
151	9.925981528
152	9.909461168
153	9.893420971
154	9.87736043
155	9.861481868
156	9.845944381
157	9.830769067
158	9.815941166
159	9.801001065
160	9.786564277
161	9.772088955
162	9.758088126
163	9.74446678
164	9.730819855
165	9.717385032
166	9.704186066
167	9.691334618
168	9.678275599
169	9.665831192
170	9.653132914
171	9.641165514
172	9.629459997
173	9.617818696
174	9.605936946
175	9.594167528
176	9.58292375
177	9.571746986
178	9.560459054
179	9.549431343
180	9.538684804
181	9.528172486
182	9.51784805
183	9.507707041
184	9.497770586
185	9.48809807
186	9.478363768
187	9.468900418
188	9.459747702
189	9.450633321
190	9.4415919
191	9.432622323
192	9.423934501
193	9.415028657
194	9.406413033
195	9.398029045
196	9.389866535
197	9.381798332
198	9.374114635
199	9.366360859
200	9.358349195
201	9.350834941
202	9.343339233
203	9.336113345
204	9.328823456
205	9.321409236
206	9.314263391
207	9.307474778
208	9.300613512
209	9.293892834
210	9.287155248
211	9.280839727
212	9.274471813
213	9.268147935
214	9.261873561
215	9.255776633
216	9.249612965
217	9.243749841
218	9.237756345
219	9.231971485
220	9.226467909
221	9.220916034
222	9.215474177
223	9.210064484
224	9.204815321
225	9.199654449
226	9.194463748
227	9.189225944
228	9.184205291
229	9.179230596
230	9.174411624
231	9.169553891
232	9.164890815
233	9.160372933
234	9.155983645
235	9.151429635
236	9.147112244
237	9.142814442
238	9.138691401
239	9.134345619
240	9.130295847
241	9.126284024
242	9.122225174
243	9.118209078
244	9.114435371
245	9.110533637
246	9.106634812
247	9.102972097
248	9.099319631
249	9.095688607
250	9.092110253
251	9.088572197
252	9.085134314
253	9.081596028
254	9.078336438
255	9.075055091
256	9.07187384
257	9.06865977
258	9.065566106
259	9.062569609
260	9.059665481
261	9.056702461
262	9.053776195
263	9.050888178
264	9.04810826
265	9.045236037
266	9.042431422
267	9.039656529
268	9.0368996
269	9.034208931
270	9.031634299
271	9.029093368
272	9.026645833
273	9.024071601
274	9.021708518
275	9.019287613
276	9.016917649
277	9.014641065
278	9.012393959
279	9.010102919
280	9.007853178
281	9.005634698
282	9.003453382
283	9.001292313
284	8.999179194
285	8.997031422
286	8.994959011
287	8.993010665
288	8.990998975
289	8.989057909
290	8.98709407
291	8.985174806
292	8.983352961
293	8.981479309
294	8.97966962
295	8.977814369
296	8.976012116
297	8.974336358
298	8.972664848
299	8.97097937
300	8.969314225
301	8.967651777
302	8.966057156
303	8.964523945
304	8.962890544
305	8.961327311
306	8.959793182
307	8.958312856
308	8.956782584
309	8.955302655
310	8.953864637
311	8.952467449
312	8.951049684
313	8.949779741
314	8.948393499
315	8.946985642
316	8.945681547
317	8.944364747
318	8.943111202
319	8.941856577
320	8.940619376
321	8.939368706
322	8.938210534
323	8.937039123
324	8.935852076
325	8.934746391
326	8.93358092
327	8.932502021
328	8.931376178
329	8.930284559
330	8.929208028
331	8.928167681
332	8.927084154
333	8.926088405
334	8.925086811
335	8.924098048
336	8.923035214
337	8.922070385
338	8.921129523
339	8.920161619
340	8.9191976
341	8.918277528
342	8.917379713
343	8.916471082
344	8.915588202
345	8.914718556
346	8.913874907
347	8.913035311
348	8.912183803
349	8.911384669
350	8.910553318
351	8.909775456
352	8.909037353
353	8.908247395
354	8.907470806
355	8.906679555
356	8.905982912
357	8.905243978
358	8.904503701
359	8.903721534
360	8.903022829
361	8.902368653
362	8.901655741
363	8.901003526
364	8.900314873
365	8.89968409
366	8.899038094
367	8.89835178
368	8.897730108
369	8.897153648
370	8.896531164
371	8.895941321
372	8.895339157
373	8.894723656
374	8.894100019
375	8.893542077
376	8.892987807
377	8.892421059
378	8.89186032
379	8.891307851
380	8.890756229
381	8.890233736
382	8.88974758
383	8.889206148
384	8.888670613
385	8.888137777
386	8.887662266
387	8.887162596
388	8.886675943
389	8.886177914
390	8.885683426
391	8.885193131
392	8.884749306
393	8.884276915
394	8.88380958
395	8.883370323
396	8.882930143
397	8.882502929
398	8.882059509
399	8.881610395
400	8.881186909
401	8.880755861
402	8.880349937
403	8.879928261
404	8.879520578
405	8.879121354
406	8.878704923
407	8.878326853
408	8.877943192
409	8.877568758
410	8.877206047
411	8.876859794
412	8.876513329
413	8.876125325
414	8.875794137
415	8.875447788
416	8.875140168
417	8.874781583
418	8.874441505
419	8.874116199
420	8.873804669
421	8.873491669
422	8.873124254
423	8.872791604
424	8.872499294
425	8.872201508
426	8.871865816
427	8.871565884
428	8.871282256
429	8.870952578
430	8.87066178
431	8.870351126
432	8.870050317
433	8.869751254
434	8.869452866
435	8.869187101
436	8.868915342
437	8.868624269
438	8.86833635
439	8.868073468
440	8.867792224
441	8.867519921
442	8.867280669
443	8.86701572
444	8.86676878
445	8.866465295
446	8.866192762
447	8.865921647
448	8.865631068
449	8.865430207
450	8.865167674
451	8.864929391
452	8.864683243
453	8.864408287
454	8.864182115
455	8.86397404
456	8.863740877
457	8.863530316
458	8.863307123
459	8.863078041
460	8.862868025
461	8.862628964
462	8.862368803
463	8.862139302
464	8.861925258
465	8.861696417
466	8.861468965
467	8.861269757
468	8.861032811
469	8.860829783
470	8.860570194
471	8.8603356
472	8.860159435
473	8.85994133
474	8.859766524
475	8.859559584
476	8.859337697
477	8.859160987
478	8.858968635
479	8.858781694
480	8.858580371
481	8.858394606
482	8.858186632
483	8.857998502
484	8.857817439
485	8.857622092
486	8.85744424
487	8.857267813
488	8.857048245
489	8.856880005
490	8.856667842
491	8.856496887
492	8.856310344
493	8.856141447
494	8.855957798
495	8.855779758
496	8.855586569
497	8.855402539
498	8.855245293
499	8.855045601
500	8.854874376
501	8.854673461
502	8.854540403
503	8.854380918
504	8.854192238
505	8.854043758
506	8.853879412
507	8.853730846
508	8.853574641
509	8.853441184
510	8.853294192
511	8.853153837
512	8.852981083
513	8.852834464
514	8.852686717
515	8.852529971
516	8.852369805
517	8.852212795
518	8.85205193
519	8.851899866
520	8.851750587
521	8.851613357
522	8.851480441
523	8.851326782
524	8.851172799
525	8.851044608
526	8.850902618
527	8.8507452
528	8.850585687
529	8.850431442
530	8.850265984
531	8.850133934
532	8.84998166
533	8.849845132
534	8.849689106
535	8.84956495
536	8.849401802
537	8.849272209
538	8.849128471
539	8.849011552
540	8.848862436
541	8.848757298
542	8.848633374
543	8.848506285
544	8.848367827
545	8.848223694
546	8.848123995
547	8.848018723
548	8.847873671
549	8.847749057
550	8.847607158
551	8.847486404
552	8.847362862
553	8.847225456
554	8.847103183
555	8.846973585
556	8.846853581
557	8.846718866
558	8.846608684
559	8.84649103
560	8.846387491
561	8.846286411
562	8.846164131
563	8.846011566
564	8.845913751
565	8.84579326
566	8.845671052
567	8.845536619
568	8.845426132
569	8.845346666
570	8.845237405
571	8.845105237
572	8.845026891
573	8.844903203
574	8.844800373
575	8.844651918
576	8.844539185
577	8.844425588
578	8.844296055
579	8.844186631
580	8.844095389
581	8.844014892
582	8.843891167
583	8.843777748
584	8.843672049
585	8.843561372
586	8.843439395
587	8.843328979
588	8.843242144
589	8.8431029
590	8.842985044
591	8.842883932
592	8.842768377
593	8.842666079
594	8.842581609
595	8.842495223
596	8.84237248
597	8.842272587
598	8.842189556
599	8.842108426
600	8.841996496
601	8.841905373
602	8.841794835
603	8.84170453
604	8.841617192
605	8.841493471
606	8.841396368
607	8.841304145
608	8.841182467
609	8.841121105
610	8.840995209
611	8.840909401
612	8.840825221
613	8.840704896
614	8.840602692
615	8.840506205
616	8.840410702
617	8.840302402
618	8.840191878
619	8.84010996
620	8.840023498
621	8.839949976
622	8.839857654
623	8.839767809
624	8.839673932
625	8.839572101
626	8.839458408
627	8.839376038
628	8.83929039
629	8.839190503
630	8.839104589
631	8.839009257
632	8.838929595
633	8.838844162
634	8.838773952
635	8.838713375
636	8.838642612
637	8.83856543
638	8.838499422
639	8.838424648
640	8.838346318
641	8.838281795
642	8.838188734
643	8.838113973
644	8.838038603
645	8.837953818
646	8.837859843
647	8.837779316
648	8.837687236
649	8.837596652
650	8.837512786
651	8.837439653
652	8.837371083
653	8.837310127
654	8.837219299
655	8.837119755
656	8.837041317
657	8.836967352
658	8.836912551
659	8.83681229
660	8.836741056
661	8.83666034
662	8.836575865
663	8.836515095
664	8.836395285
665	8.836325495
666	8.836263379
667	8.836177777
668	8.836120167
669	8.836048945
670	8.835976759
671	8.835879362
672	8.835777289
673	8.835687658
674	8.835610407
675	8.835545561
676	8.835464778
677	8.835391644
678	8.835338819
679	8.835246175
680	8.835172803
681	8.835090765
682	8.8350016
683	8.8349156
684	8.834835343
685	8.834742982
686	8.834669116
687	8.834600087
688	8.83453054
689	8.834470783
690	8.834398526
691	8.834322326
692	8.834252708
693	8.834188267
694	8.834105769
695	8.834024322
696	8.833950517
697	8.833860057
698	8.833783928
699	8.833708796
700	8.833638449
701	8.833558987
702	8.833494126
703	8.833428154
704	8.833346997
705	8.833279654
706	8.833216773
707	8.833151406
708	8.833071144
709	8.832996844
710	8.832932117
711	8.832860456
712	8.832779965
713	8.832716749
714	8.832641054
715	8.832560971
716	8.832469811
717	8.832393783
718	8.832312487
719	8.832252194
720	8.832178181
721	8.832111768
722	8.832036812
723	8.831969451
724	8.831922061
725	8.831850523
726	8.831780663
727	8.831715062
728	8.831648964
729	8.831559943
730	8.831475641
731	8.831421641
732	8.831360597
733	8.831280867
734	8.831203801
735	8.831117971
736	8.831061884
737	8.830988956
738	8.830941264
739	8.830851782
740	8.83078312
741	8.830712921
742	8.830638659
743	8.830566928
744	8.830508525
745	8.830430131
746	8.830358987
747	8.830295876
748	8.830213924
749	8.830137555
750	8.830072752
751	8.82999031
752	8.829932737
753	8.829877102
754	8.829791922
755	8.829721282
756	8.8296661
757	8.829605427
758	8.829529462
759	8.829450751
760	8.829388327
761	8.829311998
762	8.829237073
763	8.829164513
764	8.829091481
765	8.829043563
766	8.82897705
767	8.828927987
768	8.828855325
769	8.828768426
770	8.828701958
771	8.828653115
772	8.828601739
773	8.828547079
774	8.828492535
775	8.828447451
776	8.828390435
777	8.82831901
778	8.828257779
779	8.828193911
780	8.828121206
781	8.828070357
782	8.828006691
783	8.827956303
784	8.827908543
785	8.827852011
786	8.827801395
787	8.82775068
788	8.827702022
789	8.827648686
790	8.827578367
791	8.827513718
792	8.827446784
793	8.827389931
794	8.827343209
795	8.827269917
796	8.827211728
797	8.827150511
798	8.827083138
799	8.82703605
800	8.826990473
801	8.826954404
802	8.826880836
803	8.826821577
804	8.826766613
805	8.826723655
806	8.826664479
807	8.826594444
808	8.826516421
809	8.826437641
810	8.826397707
811	8.826336783
812	8.826258094
813	8.826186417
814	8.826122933
815	8.826061632
816	8.825984887
817	8.825940319
818	8.825868946
819	8.825805593
820	8.825753208
821	8.825685424
822	8.825591097
823	8.82550984
824	8.825454257
825	8.825371754
826	8.825298947
827	8.825251987
828	8.825164529
829	8.825094147
830	8.825040334
831	8.82497473
832	8.82489825
833	8.824830254
834	8.824741934
835	8.824701406
836	8.824639352
837	8.824563515
838	8.824494832
839	8.824436724
840	8.824383407
841	8.82433532
842	8.824293439
843	8.824250664
844	8.824187464
845	8.824116612
846	8.82405404
847	8.823986102
848	8.823932741
849	8.823870749
850	8.823804228
851	8.823733016
852	8.823668593
853	8.823599631
854	8.823554738
855	8.823495704
856	8.823449594
857	8.823374594
858	8.823306119
859	8.82325442
860	8.823189171
861	8.823113748
862	8.82305475
863	8.822976182
864	8.822886463
865	8.822831233
866	8.822763176
867	8.822703817
868	8.822647412
869	8.822567462
870	8.822504775
871	8.822433406
872	8.822373172
873	8.822313655
874	8.822263937
875	8.822197661
876	8.822121317
877	8.822078749
878	8.822024583
879	8.821966292
880	8.821920905
881	8.821866166
882	8.821805924
883	8.82174813
884	8.821699573
885	8.821624487
886	8.821564377
887	8.821507112
888	8.821443067
889	8.821375809
890	8.821319375
891	8.821261072
892	8.821201145
893	8.821140707
894	8.821088415
895	8.821030367
896	8.820967415
897	8.82092754
898	8.820872439
899	8.820814047
900	8.820771914
901	8.820724897
902	8.820666814
903	8.820627033
904	8.82057315
905	8.820519245
906	8.82047244
907	8.820432089
908	8.820388267
909	8.82031827
910	8.820261613
911	8.820211812
912	8.820174742
913	8.820128422
914	8.820078353
915	8.82001392
916	8.819947289
917	8.819910329
918	8.819848065
919	8.819787731
920	8.819732393
921	8.819694156
922	8.819626294
923	8.819579694
924	8.819508623
925	8.819462034
926	8.81940021
927	8.819343993
928	8.819287834
929	8.819232945
930	8.819176848
931	8.819131444
932	8.81908991
933	8.819034444
934	8.818993944
935	8.818931695
936	8.818866811
937	8.81880399
938	8.818760103
939	8.818711724
940	8.818678488
941	8.818625802
942	8.818568309
943	8.818516108
944	8.818460208
945	8.818397132
946	8.818329367
947	8.818273318
948	8.81820561
949	8.818162082
950	8.818096036
951	8.818031751
952	8.817979649
953	8.817922878
954	8.817871354
955	8.817814228
956	8.817769699
957	8.817723051
958	8.81763928
959	8.817568342
960	8.817503231
961	8.81745176
962	8.817371041
963	8.817322098
964	8.817260644
965	8.817195499
966	8.817142448
967	8.817086063
968	8.817027671
969	8.816948079
970	8.816886184
971	8.816833912
972	8.816776441
973	8.816735068
974	8.816683709
975	8.816638751
976	8.816603417
977	8.816553197
978	8.816487323
979	8.816418679
980	8.816373495
981	8.816307759
982	8.816251127
983	8.816201239
984	8.816143375
985	8.816115966
986	8.816048885
987	8.816004004
988	8.815940575
989	8.815901912
990	8.815840486
991	8.815800256
992	8.815752192
993	8.815711388
994	8.815669433
995	8.815630948
996	8.81556164
997	8.815504827
998	8.815450402
999	8.815388112
1000	8.815341362
1001	8.815285593
1002	8.815249024
1003	8.815196609
1004	8.815135805
1005	8.81507081
1006	8.815008834
1007	8.814953113
1008	8.814884539
1009	8.814826254
1010	8.814778888
1011	8.814731802
1012	8.814682118
1013	8.814619998
1014	8.814580646
1015	8.814528772
1016	8.814477393
1017	8.814424191
1018	8.814379944
1019	8.814333238
1020	8.814297418
1021	8.81425394
1022	8.814194727
1023	8.814144072
1024	8.814093164
1025	8.814039104
