iter	Passed	Remaining
0	58	581975
1	120	604163
2	169	565798
3	219	548093
4	265	530029
5	305	509608
6	342	489624
7	378	473257
8	425	472516
9	462	461550
10	493	447940
11	524	436680
12	557	428338
13	598	426649
14	632	420833
15	685	427908
16	726	426808
17	791	439138
18	850	446715
19	935	466891
20	992	471581
21	1038	471141
22	1083	470114
23	1123	467006
24	1164	464495
25	1206	462982
26	1249	461497
27	1291	460078
28	1332	457979
29	1375	457166
30	1418	456265
31	1463	455982
32	1505	454696
33	1543	452475
34	1586	451644
35	1624	449693
36	1668	449376
37	1711	448642
38	1769	451842
39	1820	453367
40	1876	455862
41	1926	456818
42	1966	455410
43	2003	453445
44	2047	453008
45	2090	452443
46	2157	456868
47	2200	456174
48	2237	454381
49	2276	453085
50	2323	453179
51	2361	451849
52	2406	451568
53	2444	450190
54	2481	448778
55	2520	447613
56	2557	446179
57	2603	446336
58	2641	445013
59	2676	443465
60	2711	441781
61	2746	440163
62	2784	439179
63	2822	438123
64	2861	437336
65	2900	436541
66	2938	435651
67	2974	434512
68	3013	433767
69	3051	432886
70	3089	432081
71	3127	431212
72	3166	430637
73	3205	429943
74	3239	428746
75	3275	427650
76	3309	426538
77	3342	425156
78	3378	424272
79	3416	423585
80	3454	422984
81	3491	422241
82	3531	421955
83	3578	422404
84	3621	422394
85	3660	421939
86	3700	421659
87	3737	420991
88	3773	420170
89	3813	419936
90	3855	419871
91	3896	419593
92	3934	419161
93	3992	420717
94	4044	421657
95	4085	421444
96	4126	421258
97	4168	421216
98	4211	421183
99	4246	420427
100	4290	420480
101	4345	421648
102	4387	421621
103	4425	421069
104	4461	420456
105	4495	419639
106	4532	419054
107	4568	418485
108	4607	418144
109	4661	419094
110	4699	418637
111	4732	417796
112	4781	418341
113	4832	419045
114	4875	419107
115	4923	419556
116	4965	419429
117	5009	419547
118	5055	419802
119	5101	419994
120	5144	420039
121	5189	420192
122	5236	420481
123	5284	420924
124	5347	422454
125	5448	426986
126	5503	427821
127	5547	427836
128	5614	429583
129	5706	433235
130	5750	433182
131	5795	433253
132	5841	433343
133	5894	434024
134	5948	434666
135	6005	435590
136	6048	435412
137	6086	434940
138	6128	434785
139	6175	434923
140	6221	434984
141	6402	444509
142	6456	445049
143	6502	445026
144	6539	444489
145	6574	443750
146	6610	443068
147	6652	442809
148	6689	442281
149	6725	441672
150	6763	441130
151	6801	440665
152	6838	440093
153	6873	439457
154	6912	439080
155	6950	438588
156	7020	440139
157	7061	439862
158	7094	439102
159	7127	438371
160	7160	437574
161	7193	436827
162	7226	436137
163	7256	435242
164	7293	434723
165	7326	434009
166	7363	433563
167	7404	433321
168	7441	432886
169	7480	432531
170	7516	432052
171	7548	431309
172	7581	430648
173	7613	429970
174	7646	429314
175	7678	428578
176	7710	427934
177	7745	427419
178	7780	426866
179	7814	426326
180	7856	426197
181	7911	426773
182	7950	426521
183	7984	425976
184	8020	425542
185	8056	425081
186	8087	424381
187	8120	423817
188	8154	423295
189	8185	422607
190	8217	422001
191	8248	421351
192	8278	420643
193	8305	419828
194	8337	419227
195	8371	418738
196	8406	418325
197	8436	417672
198	8482	417786
199	8525	417772
200	8560	417337
201	8599	417103
202	8639	416934
203	8670	416365
204	8708	416115
205	8749	415993
206	8787	415721
207	8821	415297
208	8856	414886
209	8889	414422
210	8920	413855
211	8953	413401
212	8990	413120
213	9025	412745
214	9056	412155
215	9091	411816
216	9125	411383
217	9161	411105
218	9228	412160
219	9260	411692
220	9294	411265
221	9325	410724
222	9356	410219
223	9388	409737
224	9419	409245
225	9449	408674
226	9481	408192
227	9512	407720
228	9542	407168
229	9574	406714
230	9607	406315
231	9643	406021
232	9682	405869
233	9713	405392
234	9746	404977
235	9777	404505
236	9806	403988
237	9836	403452
238	9869	403070
239	9899	402589
240	9928	402060
241	9960	401639
242	9990	401132
243	10021	400681
244	10054	400331
245	10085	399893
246	10112	399302
247	10147	399021
248	10183	398808
249	10220	398608
250	10258	398434
251	10299	398417
252	10329	397942
253	10360	397530
254	10390	397074
255	10421	396658
256	10451	396203
257	10483	395853
258	10514	395463
259	10545	395044
260	10577	394680
261	10610	394387
262	10667	394927
263	10740	396088
264	10788	396330
265	10821	396016
266	10858	395844
267	10921	396609
268	10971	396875
269	11006	396654
270	11047	396623
271	11085	396475
272	11122	396303
273	11164	396286
274	11206	396313
275	11251	396413
276	11292	396394
277	11328	396173
278	11363	395919
279	11400	395756
280	11439	395653
281	11482	395702
282	11521	395586
283	11562	395566
284	11600	395421
285	11638	395287
286	11681	395343
287	11717	395128
288	11750	394833
289	11789	394750
290	11864	395859
291	11896	395522
292	11931	395297
293	11961	394905
294	11992	394530
295	12023	394171
296	12056	393884
297	12089	393593
298	12148	394159
299	12177	393741
300	12205	393303
301	12235	392913
302	12266	392566
303	12297	392215
304	12326	391825
305	12362	391646
306	12391	391251
307	12423	390936
308	12455	390620
309	12483	390197
310	12511	389782
311	12540	389410
312	12585	389521
313	12618	389241
314	12649	388935
315	12680	388616
316	12719	388534
317	12753	388311
318	12789	388121
319	12820	387811
320	12852	387532
321	12880	387129
322	12913	386881
323	12945	386617
324	12980	386412
325	13013	386160
326	13049	386018
327	13082	385765
328	13117	385578
329	13149	385310
330	13178	384953
331	13213	384795
332	13249	384631
333	13278	384288
334	13310	384013
335	13338	383643
336	13369	383340
337	13396	382947
338	13426	382640
339	13455	382293
340	13484	381958
341	13515	381688
342	13557	381692
343	13586	381363
344	13619	381134
345	13656	381053
346	13687	380775
347	13727	380743
348	13761	380551
349	13793	380310
350	13845	380606
351	13874	380294
352	13904	379995
353	13939	379827
354	13967	379491
355	14001	379306
356	14032	379026
357	14064	378790
358	14095	378539
359	14126	378281
360	14160	378103
361	14190	377799
362	14226	377696
363	14257	377427
364	14292	377283
365	14324	377053
366	14353	376758
367	14382	376446
368	14413	376201
369	14450	376095
370	14508	376561
371	14557	376785
372	14588	376518
373	14617	376237
374	14650	376022
375	14679	375743
376	14711	375506
377	14740	375226
378	14773	375030
379	14810	374944
380	14848	374874
381	14880	374650
382	14913	374463
383	14942	374187
384	14970	373862
385	15003	373681
386	15036	373515
387	15070	373335
388	15101	373123
389	15133	372896
390	15169	372808
391	15210	372803
392	15254	372892
393	15300	373029
394	15355	373391
395	15398	373441
396	15444	373582
397	15481	373504
398	15519	373451
399	15554	373305
400	15589	373164
401	15621	372978
402	15653	372782
403	15692	372743
404	15736	372808
405	15773	372730
406	15806	372570
407	15839	372388
408	15873	372229
409	15936	372755
410	15973	372668
411	16005	372486
412	16039	372334
413	16081	372371
414	16114	372183
415	16146	371998
416	16182	371876
417	16222	371869
418	16255	371694
419	16283	371418
420	16316	371245
421	16348	371061
422	16378	370821
423	16407	370558
424	16436	370302
425	16464	370034
426	16493	369781
427	16522	369526
428	16552	369286
429	16580	369003
430	16608	368729
431	16634	368425
432	16667	368261
433	16702	368152
434	16741	368113
435	16774	367962
436	16808	367831
437	16846	367785
438	16881	367660
439	16913	367494
440	16947	367357
441	16978	367152
442	17007	366919
443	17042	366806
444	17077	366683
445	17111	366556
446	17141	366340
447	17172	366152
448	17206	366018
449	17240	365883
450	17277	365806
451	17319	365855
452	17351	365673
453	17381	365480
454	17411	365250
455	17440	365021
456	17470	364817
457	17507	364745
458	17568	365177
459	17618	365394
460	17677	365782
461	17731	366067
462	17759	365807
463	17807	365968
464	17842	365863
465	17874	365708
466	17907	365543
467	17937	365349
468	17971	365221
469	18032	365627
470	18062	365439
471	18089	365166
472	18120	364979
473	18151	364790
474	18188	364727
475	18225	364668
476	18257	364502
477	18291	364380
478	18329	364331
479	18361	364173
480	18398	364115
481	18443	364208
482	18473	364005
483	18504	363819
484	18535	363636
485	18568	363499
486	18598	363305
487	18632	363188
488	18672	363176
489	18725	363432
490	18770	363526
491	18822	363758
492	18870	363901
493	18937	364421
494	18981	364483
495	19024	364534
496	19070	364650
497	19106	364550
498	19145	364535
499	19183	364495
